unmittelbare Anstellung,Q506999,,Q-1770 Person,1776,1777,neu / weg / unverändert / andere Quali,Qualifikation 1,Qualifikation 2,Qualifikation 3,Qualifikation 4,Qualifikation 3,Qualifikation 4,Qualifikation 5,Ort,,Titel,Adlesrang,Vorname1,Vorname2,Vorname3,Vorname4,Vorname5,Nachname,
Cammer-Boten,Q506912,,Q507092,Johann Melchior Müller,Johann Melchior Müller,unverändert,,,,,,,,,,,,,,,,,,
Cammer-Boten,Q506912,,Q507093,Johann Levin Robst,Johann Levin Robst,unverändert,,,,,,,,,,,,,,,,,,
Cammer-Boten,Q506912,,,Georg Jacob Groß,Georg Jacob Groß,unverändert,Beybothe,,,,,,,,,,,,,,,,,
Bey den Berg- und Schmelzwerken,Q506766,,Q507105,Carl Friedrich Baum,Carl Friedrich Baum,unverändert,Bergmeister,,,,,,,,,,,,,,,,,
Bey den Berg- und Schmelzwerken,Q506766,,Q507108,Johann Friedrich Werlisch,Johann Friedrich Werlisch,unverändert,Kassierer,,,,,,,,,,,,,,,,,
Bey den Berg- und Schmelzwerken,Q506766,,,Johann Georg Waitz,Johann Georg Waitz,unverändert,Controleur,,,,,,,,,,,,,,,,,
Herzogliche Münze,Q506842,,Q192617,Ludwig Christian Koch,Ludwig Christian Koch,unverändert,Münz-Direktor,,,,,,,,,,,,,,,,,
Herzogliche Münze,Q506842,,Q507111,Christian Conrad Gerngroß,Christian Conrad Gerngroß,unverändert,Münz-Warabein,,,,,,,,,,,,,,,,,
Herzogliches Post-Amt zu Gotha,Q506844,,Q507088,Christian Friededrich Schmidt,Christian Friededrich Schmidt,unverändert,Land -Cammerad,,,Post-Commissarius,,,,,,,,,,,,,,
Herzogliches Post-Amt zu Gotha,Q506844,,,Heinrich Christian Kummer,Heinrich Christian Kummer,unverändert,Rath,,,Post-Director,,,,,,,,,,,,,,
Herzogliches Post-Amt zu Gotha,Q506844,,Q507119,Johann Caspar Thomas,Johann Caspar Thomas,unverändert,Briefträger,,,,,,,,,,,,,,,,,
Floßbediete zu Gotha,Q506845,,Q507126,Johann Traugott Christian Thielemann,Johann Traugott Christian Thielemann,unverändert,Substiatutus,,,,,,,,,,,,,,,,,
Floßbediete zu Gotha,Q506845,,Q507129,Wilhelm Haßkerl,Wilhelm Haßkerl,unverändert,Holzvoigt,,,,,,,,,,,,,,,,,
Herzogliches Bau-Amt zu Gotha,Q506854,,Q77402,Johann David Weidner,Johann David Weidner,unverändert,Baumeister,,,,,,,,,,,,,,,,,
Herzogliches Bau-Amt zu Gotha,Q506854,,Q156010,Friedrich August Bause,Friedrich August Bause,unverändert,Bauinspektor,,,,,,,,,,,,,,,,,
Herzogliches Bau-Amt zu Gotha,Q506854,,Q513282,Johann Sigmund Gerhard,Johann Sigmund Gerhard,unverändert,Bauverwalter,,,,,,,,,,,,,,,,,
Herzogliches Bau-Amt zu Gotha,Q506854,,Q507135,Bernhard Caspar Hofmann,Bernhard Caspar Hofmann,unverändert,Bauschreiber,,,,,,,,,,,,,,,,,
Herzogliches Bau-Amt zu Gotha,Q506854,,Q507136,Johann Georg Schneegaß,Johann Georg Schneegaß,unverändert,Baudiener,,,,,,,,,,,,,,,,,
Herzogliches Bau-Amt zu Gotha,Q506854,,Q507370,Jacob Ludwig Sandmann,Jacob Ludwig Sandmann,unverändert,Wallmeister,,,,,,,,,,,,,,,,,
Herzogliches Bau-Amt zu Gotha,Q506854,,,Johann Simon Seyfarth,Johann Simon Seyfarth,unverändert,Alleen-Aufseher,,,,,,,,,,,,,,,,,
Herzogliches Bau-Amt zu Gotha,Q506854,,,Christian Baumann,Christian Bachann,andere FN,Bauknecht,,,,,,,,,,,,,,,,,
Herzogliches Bau-Amt zu Gotha,Q506854,,,Georg Böhm,Georg Böhm,unverändert,Bauknecht,,,,,,,,,,,,,,,,,
Herzogliches Bau-Amt zu Gotha,Q506854,,,Volkmar Schüler,Volkmar Schüler,unverändert,Bauknecht,,,,,,,,,,,,,,,,,
Herzogliches Bau-Amt zu Gotha,Q506854,,,David Göpfert,David Göpfert,unverändert,Bauknecht,,,,,,,,,,,,,,,,,
Zum Bau-Amtegehörige Hof-befreyte Künstler und Handwerker,Q506786,,Q507137,Johann Nicolaus Karstedt,Johann Nicolaus Karstedt,unverändert,Hof-Tapeten-Mahler,,,,,,,,,,,,,,,,,
Zum Bau-Amtegehörige Hof-befreyte Künstler und Handwerker,Q506786,,Q161696,Johann Georg Ephraim Schmidt,Johann Georg Ephraim Schmidt,unverändert,Stuccateur,,,,,,,,,,,,,,,,,
Zum Bau-Amtegehörige Hof-befreyte Künstler und Handwerker,Q506786,,Q507141,Johann Friedrich Böhler,Johann Friedrich Böhler,unverändert,Hof-Kunst,,,Figurenschneider,,,,,,,,,,,,,,
Zum Bau-Amtegehörige Hof-befreyte Künstler und Handwerker,Q506786,,Q507142,Johann Christoph Eichler,Johann Christoph Eichler,unverändert,Hof-Bildhauer,,,,,,,,,,,,,,,,,
Zum Bau-Amtegehörige Hof-befreyte Künstler und Handwerker,Q506786,,Q507144,Johann Wolfgang Zöller,Johann Wolfgang Zöller,unverändert,Hof- Graveur,,,,,,,,,,,,,,,,,
Zum Bau-Amtegehörige Hof-befreyte Künstler und Handwerker,Q506786,,Q161248,Johann Friedrich Lauterbeck,Johann Friedrich Lauterbeck,unverändert,Hof-Uhrmacher,,,,,,,,,,,,,,,,,
Zum Bau-Amtegehörige Hof-befreyte Künstler und Handwerker,Q506786,,,Johann Dietrich Ungewitter,Johann Dietrich Ungewitter,unverändert,Hof-Bildhauer,,,,,,,,,,,,,,,,,
Zum Bau-Amtegehörige Hof-befreyte Künstler und Handwerker,Q506786,,,Christian Friedrich Ritter,Christian Friedrich Ritter,unverändert,Hofmahler,,,Stallmahler,,,,,,,,,,,,,,
Zum Bau-Amtegehörige Hof-befreyte Künstler und Handwerker,Q506786,,,Johann Wolfgang Fischer,Johann Wolfgang Fischer,unverändert,Hof-Büchsenmacher,,,,,,,,,,,,,,,,,
Zum Bau-Amtegehörige Hof-befreyte Künstler und Handwerker,Q506786,,Q507145,Johann Caspar Drüschler,Johann Caspar Drüschler,unverändert,Marmorirer,,,,,,,,,,,,,,,,,
Zum Bau-Amtegehörige Hof-befreyte Künstler und Handwerker,Q506786,,Q507146,Johann Martin Urban,Johann Martin Urban,unverändert,Glasschneider,,,,,,,,,,,,,,,,,
Zum Bau-Amtegehörige Hof-befreyte Künstler und Handwerker,Q506786,,Q507147,Melichor Jacob Otto,Melichor Jacob Otto,unverändert,Kunstmeister,,,Röhrenmeister,,,,,,,,,,,,,,
Zum Bau-Amtegehörige Hof-befreyte Künstler und Handwerker,Q506786,,Q1052,Johann Friedrich Schmidt,Johann Friedrich Schmidt,unverändert,Hofbeutler,,,,,,,,,,,,,,,,,
Zum Bau-Amtegehörige Hof-befreyte Künstler und Handwerker,Q506786,,Q507148,Elias Gotfried Hahn,Elias Gotfried Hahn,unverändert,Glockengießer,,,,,,,,,,,,,,,,,
Zum Bau-Amtegehörige Hof-befreyte Künstler und Handwerker,Q506786,,Q507149,Johann Caspar Heußner,Johann Caspar Heußner,unverändert,Hofklempner,,,,,,,,,,,,,,,,,
Zum Bau-Amtegehörige Hof-befreyte Künstler und Handwerker,Q506786,,,Johann Gabriel Liebertau,Johann Gabriel Liebertau,unverändert,Hofklempner,,,,,,,,,,,,,,,,,
Zum Bau-Amtegehörige Hof-befreyte Künstler und Handwerker,Q506786,,Q507150,Cristoph Bernecker,Cristoph Bernecker,unverändert,Hofschreiner,,,,,,,,,,,,,,,,,
Zum Bau-Amtegehörige Hof-befreyte Künstler und Handwerker,Q506786,,,Johann Jacob Wiegleb,Johann Jacob Wiegleb,unverändert,Hofschreiner,,,,,,,,,,,,,,,,,
Zum Bau-Amtegehörige Hof-befreyte Künstler und Handwerker,Q506786,,Q507437,August Caspar Eißfeld,August Caspar Eißfeld,unverändert,Hofsattler,,,,,,,,,,,,,,,,,
Zum Bau-Amtegehörige Hof-befreyte Künstler und Handwerker,Q506786,,,Georg Ludwig Schönau,Georg Ludwig Schönau,unverändert,Hofzinngießer,,,,,,,,,,,,,,,,,
Zum Bau-Amtegehörige Hof-befreyte Künstler und Handwerker,Q506786,,,Johann Georg Christian Blödner,Johann Georg Christian Blödner,unverändert,Hofseifensieder,,,,,,,,,,,,,,,,,
Zum Bau-Amtegehörige Hof-befreyte Künstler und Handwerker,Q506786,,Q507151,Johann Philipp Ludewig,Johann Philipp Ludewig,unverändert,Zimmerer,,,,,,,,,,,,,,,,,
Zum Bau-Amtegehörige Hof-befreyte Künstler und Handwerker,Q506786,,Q507152,Johann Ernst Paul,Johann Ernst Paul,unverändert,Zimmerer,,,,,,,,,,,,,,,,,
Zum Bau-Amtegehörige Hof-befreyte Künstler und Handwerker,Q506786,,Q507154,Conrad Christoph Schuchardt,Conrad Christoph Schuchardt,unverändert,Zigeldecker,,,,,,,,,,,,,,,,,
Zum Bau-Amtegehörige Hof-befreyte Künstler und Handwerker,Q506786,,Q513397,Johann Jeremias Hellmund,Johann Jeremias Hellmund,unverändert,Zigeldecker,,,,,,,,,,,,,,,,,
Zum Bau-Amtegehörige Hof-befreyte Künstler und Handwerker,Q506786,,Q264694,Johann Christian Silber,Johann Christian Silber,unverändert,Hofschlosser,,,,,,,,,,,,,,,,,
Zum Bau-Amtegehörige Hof-befreyte Künstler und Handwerker,Q506786,,Q507156,Johann Christian Eisenberg,Johann Christian Eisenberg,unverändert,Hofschlosser,,,,,,,,,,,,,,,,,
Zum Bau-Amtegehörige Hof-befreyte Künstler und Handwerker,Q506786,,Q507156,Johann Jacob Jusatz,Johann Jacob Jusatz,unverändert,Hofdrechsler,,,,,,,,,,,,,,,,,
Zum Bau-Amtegehörige Hof-befreyte Künstler und Handwerker,Q506786,,Q507158,Gottlieb Friedrich Schellborn,Gottlieb Friedrich Schellborn,unverändert,Hofbauschmied,,,,,,,,,,,,,,,,,
Zum Bau-Amtegehörige Hof-befreyte Künstler und Handwerker,Q506786,,Q507159,Johann Gottfried Lippmann,Johann Gottfried Lippmann,unverändert,Hofglaser,,,,,,,,,,,,,,,,,
Zum Bau-Amtegehörige Hof-befreyte Künstler und Handwerker,Q506786,,,Georg Tobias Endert,Georg Tobias Endert,unverändert,Hofglaser,,,,,,,,,,,,,,,,,
Zum Bau-Amtegehörige Hof-befreyte Künstler und Handwerker,Q506786,,Q507161,Gottfried Philipp Mackerodt,Gottfried Philipp Mackerodt,unverändert,Hofschieferdecker,,,,,,,,,,,,,,,,,
Zum Bau-Amtegehörige Hof-befreyte Künstler und Handwerker,Q506786,,Q507162,Carl Ammerbach,Carl Ammerbach,unverändert,Töpfer,,,,,,,,,,,,,,,,,
Zum Bau-Amtegehörige Hof-befreyte Künstler und Handwerker,Q506786,,Q507163,Heinrich Christoph Köthe,Heinrich Christoph Köthe,unverändert,Schlotfeger,,,,,,,,,,,,,,,,,
Zum Bau-Amtegehörige Hof-befreyte Künstler und Handwerker,Q506786,,Q507164,Bernard Caspar Hofmann,Bernard Caspar Hofmann,unverändert,Oberspritzenmeister,,,,,,,,,,,,,,,,,
Zum Bau-Amtegehörige Hof-befreyte Künstler und Handwerker,Q506786,,Q507156,Johann Christian Eisenberg,Johann Christian Eisenberg,unverändert,Oberspritzenmeister,,,,,,,,,,,,,,,,,
Zum Bau-Amtegehörige Hof-befreyte Künstler und Handwerker,Q506786,,Q264694,Johann Christian Silber,Johann Christian Silber,unverändert,Spritzenmeister,,,,,,,,,,,,,,,,,
Zum Bau-Amtegehörige Hof-befreyte Künstler und Handwerker,Q506786,,,Johann Siegmund Silber,Johann Siegmund Silber,unverändert,Spritzenmeister,,,,,,,,,,,,,,,,,
Zum Bau-Amtegehörige Hof-befreyte Künstler und Handwerker,Q506786,,Q507168,Georg Samuel Eidam,Georg Samuel Eidam,unverändert,Spritzenmeister,,,,,,,,,,,,,,,,,
Zum Bau-Amtegehörige Hof-befreyte Künstler und Handwerker,Q506786,,,Andreas David Eisenberg,Andreas David Eisenberg,unverändert,Spritzenmeister,,,,,,,,,,,,,,,,,
Thor und Einlaß-Schreiberei,Q506834,,Q260000,Johann Wilhelm Völker,Johann Wilhelm Völker,unverändert,,,,,,,,,,,,,,,,,,
Thor und Einlaß-Schreiberei,Q506834,,Q507104,Johann Georg Trinks,Johann Georg Trinks,unverändert,,,,,,,,,,,,,,,,,,
Thor und Einlaß-Schreiberei,Q506834,,Q513293,Johann Georg Merbach,Johann Georg Merbach,unverändert,,,,,,,,,,,,,,,,,,
Thor und Einlaß-Schreiberei,Q506834,,Q518302,Christoph Georg Rüger,Christoph Georg Rüger,unverändert,,,,,,,,,,,,,,,,,,
Herzogliches Kriegs-Collegium,Q506913,,Q507170,Johann Christoph Westhof,Johann Christoph Westhof,unverändert,Obrister,,,Kriegsrath,,,,,,,,,,,,,,
Herzogliches Kriegs-Collegium,Q506913,,Q507174,Friedrich August Brandes,Friedrich August Brandes,unverändert,Kriegs-Rrath,,,,,,,,,,,,,,,,,
Herzogliches Kriegs-Collegium,Q506913,,Q192749,Friedrich Christian John,Friedrich Christian John,unverändert,Kriegs-Commissionsrath,,,,,,,,,,,,,,,,,
Herzogliches Kriegs-Collegium,Q506913,,Q101891,Ernst Wilhelm Schierschmidt,Ernst Wilhelm Schierschmidt,unverändert,Kriegs-Commissionsrath,,,,,,,,,,,,,,,,,
Kriegs-Zahlmeister,,,Q101891,Ernst Wilhelm Schierschmidt,Ernst Wilhelm Schierschmidt,unverändert,Kriegs-Commissionsrath,,,,,,,,,,,,,,,,,
Kriegs Commissarius zu Altenburg,Q510701,,Q507181,Johann Heinrich Heumann,Johann Heinrich Heumann,unverändert,Hauptmann,,,,,,,,,,,,,,,,,
Kriegs Commissarius zu Altenburg,Q510701,,Q257574,Albrecht Heinrich von Hoff,Albrecht Heinrich von Hoff,unverändert,Secretarius,,,,,,,,,,,,,,,,,
Kriegs Commissarius zu Altenburg,Q510701,,Q156913,Georg Imanuel Buddeus,Georg Imanuel Buddeus,unverändert,Secretarius,,,,,,,,,,,,,,,,,
Kriegs Commissarius zu Altenburg,Q510701,,Q99131,Johann Friedrich Dürfeld,Johann Friedrich Dürfeld,unverändert,Bothenmeister,,,,,,,,,,,,,,,,,
Kriegs Commissarius zu Altenburg,Q510701,,,Ludwig Wilhelm Zinkeisen,Ludwig Wilhelm Zinkeisen,unverändert,Actuarius,,,,,,,,,,,,,,,,,
Kriegs Commissarius zu Altenburg,Q510701,,,Ambrosius Jacob Müller,Ambrosius Jacob Müller,unverändert,Kriegs-Actuarius,,,,,,,,,,,,,,,,,
Kriegs Commissarius zu Altenburg,Q510701,,Q513254,Christoph Heinemann,Christoph Heinemann,unverändert,Canzleydiener,,,,,,,,,,,,,,,,,
Kriegs Commissarius zu Altenburg,Q510701,,Q507183,Johann Georg Witschel,Johann Georg Witschel,unverändert,Bothe,,,,,,,,,,,,,,,,,
Kriegs-Verhör-Stube,,,,Gottlob  Ernst Christian Schulthers,Gottlob  Ernst Christian Schulthers,unverändert,Secretarius,,,,,,,,,,,,,,,,,
Proviant-Verwalter zu Altenburg,,,,Johann Heinrich Lemser,Johann Heinrich Lemser,unverändert,,,,,,,,,,,,,,,,,,
Herzogliche Ober Consistorium zu Gotha,Q506926,,Q23279,Ernst Wilhelm von Wangenheim,Ernst Wilhelm von Wangenheim,andere Qualli,Wirklicher Geheimer Rath,,,Herrschaftlicher Obereinnehmer,Direktor dieses Collegii,,,,,Seine Exellenz,,,,,,,,
Herzogliche Ober Consistorium zu Gotha,Q506926,,Q145173,,Friedrich Hartmann von Witzleben,neu,herzoglicher S.Weimarisch,,,Wirklicher  Geheimer Rath,Ober-Hof-Marschall,Ritterschaftlicher Ober-Einnehmer,,,,Seine Exellenz,,Friedrich,Hartmann,,,,von Witzleben,
Herzogliche Ober Consistorium zu Gotha,Q506926,,Q192534,Heinrich Christoph Bertuch,Heinrich Christoph Bertuch,unverändert,Hof-Rath,,,Steuer Assessor,,,,,,,,,,,,,,
Herzogliche Ober Consistorium zu Gotha,Q506926,,Q507185,Caspar Hermann Stieler,Caspar Hermann Stieler,unverändert,Hof-Rath,,,Bürgermeister,Städtischer Obereinnehmer,,,,,,,,,,,,,
Obersteuer-Canzley,Q506800,,Q507022,Johann Friedrich Hartmann,Johann Friedrich Hartmann,unverändert,Oberpolcey,,,Steuercomissarius,,,,,,,,,,,,,,
Obersteuer-Canzley,Q506800,,Q98257,Johann Heinrich Bertuch,Johann Heinrich Bertuch,unverändert,Obersteuer-Secretarius,,,,,,,,,,,,,,,,,
Obersteuer-Canzley,Q506800,,Q507191,Anton Heinrich Hartmann,Anton Heinrich Hartmann,unverändert,Secretarius,,,,,,,,,,,,,,,,,
Obersteuer-Canzley,Q506800,,Q78385,Johann Nikolaus Haumann,Johann Nikolaus Haumann,unverändert,Steuer-Actuarius,,,,,,,,,,,,,,,,,
Obersteuer-Canzley,Q506800,,,Johann August Hofmann,Johann August Hofmann,unverändert,Steuer-Registrator,,,,,,,,,,,,,,,,,
Rechnungs-Departement,Q513170,,Q507190,Johann Friedrich Birkel,Johann Friedrich Birkel,unverändert,Landschafts Kassierer,,,,,,,,,,,,,,,,,
Rechnungs-Departement,Q513170,,Q42353,Johann Friedrich Büchner,Johann Friedrich Büchner,unverändert,Steuer Revisor,,,,,,,,,,,,,,,,,
Rechnungs-Departement,Q513170,,Q507194,Heinrich Valentin Frey,Heinrich Valentin Frey,andere Qualli,Steuer-Diener,,,,,,,,,,,,,,,,,
Rittersteuer-Einname,,,Q97277,Christian Friedrich Schaller,Christian Friedrich Schaller,unverändert,Rath,,,,,,,,,,,,,,,,,
Städtische Steuereinnehmer Stadt Gotha,,,Q507197,Johann Anton Schudroff,Johann Anton Schudroff,unverändert,Steuereinnehmer,,,,,,,,,,,,,,,,,
Städtische Steuereinnehmer Stadt Gotha,,,Q507199,Johann Christoph Spangenberg,Johann Christoph Spangenberg,unverändert,Aufwärter,,,,,,,,,,,,,,,,,
Städtische Steuereinnehmer Stadt Waltershausen,,,Q98569,,D. Wilhelm Gottlieb Jacobs,neu,Rath,,,Amtmann,,,,,,Dr.,,Wilhelm,Gottlieb,,,,Jacobs,
Städtische Steuereinnehmer Stadt Waltershausen,,,Q507040,,Friedrich Christoph Gotthatrd John,neu,ord. Hof-Advocat,,,Bürgermeister,,,,,,,,Friedrich,Christoph,Gotthatrd,,,John,
Städtische Steuereinnehmer Stadt Waltershausen,,,Q375226,,Friedrich Heinrich Wilhelm Jacobs,neu,Amts-Registrator,,,,,,,,,,,Friedrich,Heinrich,Wilhelm,,,Jacobs,
Städtische Steuereinnehmer Stadt und Amt Ohrdruff,,,Q507290,,Johann Heinrich Madelung,neu,Steuer-Secretarius,,,,,,,,,,,Johann,Heinrich,,,,Madelung,
"Landschafl. Depuiation des Herzogtums Gotha, von Seiten des Grafen-Stands",,,,,Ferdinand Christian von Lyucker,neu,Fürstl. Schwarzburgl. Canzlar,,,"Consistorial-Praesident zu Arnstadt, wegen der untergrafschaft Gleichen",,,,,,,,Ferdinand,Christian,,,,von Lyucker,
"Landschafl. Depuiation des Herzogtums Gotha, von Seiten des Grafen-Stands",,,,,Johann Bernard Schwanert,neu,"Fürstl. Hohenlob-Langenburgischer Hofrath, wegen der Obergrafschaft Gleichen-Reusteinisch.  Deputatus vacat.",,,,,,,,,,,Johann,Bernard,,,,Schwanert,
"Landschafl. Depuiation des Herzogtums Gotha, von Seiten der Ritterschaft",,,Q23279,,Ernst Wilhelm von Wangenheim,neu,auf Behringen,,,Herzoglich Sächsischer Wirklicher Geheimer Rath und Obersteuer-Director,,,,,,Exellenz,,Ernst,Wilhelm,,,,von Wangenheim,
"Landschafl. Depuiation des Herzogtums Gotha, von Seiten der Ritterschaft",,,Q507227,,Alexander von Witzleben,neu,auf Fröttstädt,,,Kayserlich Königlicher Cammerherr,,,,,,,,Alexander,,,,,von Witzleben,
"Landschafl. Depuiation des Herzogtums Gotha, von Seiten der Ritterschaft",,,Q145173,,Friedrich Hartmann von Witzleben,neu,auf Elgersburg,,,Herzoglich Sächsischer Geheimer Rath ,,,,,,,,Friedrich,Hartmann,,,,von Witzleben,
"Landschafl. Depuiation des Herzogtums Gotha, von Seiten der Ritterschaft",,,,,Friedrich Carl von Forsten,neu,auf Herbsleben,,,Herzoglich Sächsischer wirklicher Weimarischer Geheimer Rath und Ober-Hof-Marschall,,,,,,,,Friedrich,Carl,,,,von Forsten,
"Landschafl. Depuiation des Herzogtums Gotha, von Seiten der Ritterschaft",,,Q422219,,Friedrich Wilhelm von Seebach,neu,auf Farnern,,,Dom-Dechant des Stifts zu Naumburg,,,,,,,,Friedrich,Wilhelm,,,,von Seebach,
"Landschafl. Depuiation des Herzogtums Gotha, von Seiten der Ritterschaft",,,,,Friedrich Bernhard von Wangenheim,neu,auf Sonneborn,,,Königlich Preußischer Ruttmeister,,,,,,,,Friedrich,Bernhard,,,,von Wangenheim,
Außerordentliche Depurtirte,,,Q174968,,Gottlob Ernst Josias Friedrich Freyherr von Stein,neu,auf Groß-Kochberg,,,Herzoglich Sächsischer Weimarischer Geheimer Cammer-Rath,,,,,,Freyherr,,Gottlob,Ernst,Josias,,,von Stein,
Außerordentliche Depurtirte,,,,,Christian von Herda,neu,auf Ettenhaußen,,,Herzoglich Sächsischer Weimarischer Ober-Stallmeister,,,,,,,,Christian,,,,,von Herda,
"Landschafl. Depuiation des Herzogtums Gotha, von Seiten der Städte",,,Q507185,,Caspar Hermann Stieler,neu,Hofrath ,,,Bürgermeister zu Waltershausen,,,,,,,,Caspar,Hermann,,,,Stieler,
"Landschafl. Depuiation des Herzogtums Gotha, von Seiten der Städte",,,Q507040,,Friedrich Christoph Gotthatrd John,neu,ordin. Hof-Advocat ,,,Bürgermeister zu Gotha,,,,,,,,Friedrich ,Christoph,,,,Gotthatrd John,
Landschafts-Consulent,,,Q192806,,Carl Adolph Wachler,neu,,,,,,,,,,,,Carl,Adolph,,,,Wachler,
Auswärtige Gesandschaften und Verschickungen-Auf dem Reichstag,Q506937,,Q249911,Heinrich Graf von Bünau,Heinrich Graf von Bünau,unverändert,S. Weimarischer Wirklicher Geheimer Rath,,,,mitbevollmächtigter S-Gotha und AltenburgischerComitial-Gesandte,Comital-Gesante,,,,Seine Exellenz,,,,,,,,
Legions-Canzley,Q510702,,Q507201,Philipp Friedrich Ernesti,Philipp Friedrich Ernesti,unverändert,Legations-Secretarius,,,,,,,,,,,,,,,,,
Legions-Canzley,Q510702,,Q507203,Jeremias Müller,Jeremias Müller,unverändert,Legations-Canzlist,,,,,,,,,,,,,,,,,
Am Kaiserlichen Hofe,Q506942,,,Wilhelm Heinrich von der Lith,Wilhelm Heinrich von der Lith,unverändert,accreditirter Geheimer-Secretarius,,,Legations-Rath,,,,,,,,,,,,,,
Am Kaiserlichen Hofe,Q506942,,,Carl Ludwig Petersen,Carl Ludwig Petersen,unverändert,Rath,,,Legations-Secretarius,Agent beym Kaiserlichen Reichs Hofrath,,,,,,,,,,,,,
Am Königlich Französischem Hofe,,,Q421806,Friedrich Melichor von Grimm,Friedrich Melichor von Grimm,unverändert,Ministre plenipotentiaire,,,,,,,,,,,,,,,,,
Zu Augspurg,Q506945,,Q390469,Johann Friedrich Gullmann,Johann Friedrich Gullmann,unverändert,Resident,,,,,,,,,,,,,,,,,
Zu Augspurg,Q506945,,Q507213,Marco Baltasar Gullmann,Marco Baltasar Gullmann,unverändert,adjung Resident,,,,,,,,,,,,,,,,,
Zu Coblenz,Q506946,,Q507214,Friedrich Els,Friedrich Els,unverändert,Hof Agent,,,,,,,,,,,,,,,,,
Zu Frankfurt,Q506947,,Q507216,Friedrich Jacob von Riese,Friedrich Jacob von Riese,unverändert,Ledations-Rath,,,,,,,,,,,,,,,,,
Im Haag,Q506948,,,Gysbert Heenemann,Gysbert Heenemann,unverändert,Kriegs-Agent,,,,,,,,,,,,,,,,,
Zu Hamburg,Q506949,,Q507218,Paribon Daniel Kern,Paribon Daniel Kern,unverändert,Agent,,,,,,,,,,,,,,,,,
zu Rebl,,,,August Benjamin Friedrich Strobel,August Benjamin Friedrich Strobel,unverändert,Agent,,,,,,,,,,,,,,,,,
zu Lion,,,,Robert Perrin,Robert Perrin,unverändert,Agent,,,,,,,,,,,,,,,,,
zu Mayland,,,,Francesco Bianchi,Francesco Bianchi,unverändert,Agent,,,,,,,,,,,,,,,,,
Zu Nürnberg,Q506950,,Q507219,Georg Lenz,Georg Lenz,unverändert,Leg. Rath,,,Agent,,,,,,,,,,,,,,
zu Wetzlar,,,,Christian Jacob von Zwirlein,Christian Jacob von Zwirlein,unverändert,Reichskammer-Gerichts-Procurator,,,,,,,,,,,,,,,,,
Verschiedene andere bei keinem Collegio angewiesene Räthe und Bediente,Q506781,,,Friedrich Carl von Forsten,Friedrich Carl von Forsten,unverändert,Geheim Rath,,,,,,,,,,,,,,,,,
Verschiedene andere bei keinem Collegio angewiesene Räthe und Bediente,Q506781,,Q507231,Hans Wilhelm von Beulwitz,Hans Wilhelm von Beulwitz,unverändert,Geheimer Cammerath,,,,,,,,,,,,,,,,,
Verschiedene andere bei keinem Collegio angewiesene Räthe und Bediente,Q506781,,,Carl Gottlob von Rüxleben,Carl Gottlob von Rüxleben,unverändert,Stallmeister,,,,,,,,,,,,,,,,,
Verschiedene andere bei keinem Collegio angewiesene Räthe und Bediente,Q506781,,Q507235,Aemilius Friedrich Wilhelm Metsch,Aemilius Friedrich Wilhelm Metsch,unverändert,Landcammerrath,,,,,,,,,,,,,,,,,
Verschiedene andere bei keinem Collegio angewiesene Räthe und Bediente,Q506781,,Q507237,Johann Gottlob von Schönfeld,Johann Gottlob von Schönfeld,unverändert,Landcammerrath,,,,,,,,,,,,,,,,,
Verschiedene andere bei keinem Collegio angewiesene Räthe und Bediente,Q506781,,Q507239,Junocentius Wilhelm von Beust,Junocentius Wilhelm von Beust,unverändert,Landcammerrath,,,,,,,,,,,,,,,,,
Verschiedene andere bei keinem Collegio angewiesene Räthe und Bediente,Q506781,,Q507241,Christoph Friedrich von Wolframsdorf,Christoph Friedrich von Wolframsdorf,unverändert,Landcammerrath,,,,,,,,,,,,,,,,,
Verschiedene andere bei keinem Collegio angewiesene Räthe und Bediente,Q506781,,,Heinrich Ferdinand Edler von Gärtner,Heinrich Ferdinand Edler von Gärtner,unverändert,Landcammerrath,,,,,,,,,,,,,,,,,
Verschiedene andere bei keinem Collegio angewiesene Räthe und Bediente,Q506781,,,Johann Georg von Kühn,Johann Georg von Kühn,unverändert,Landcammerrath,,,,,,,,,,,,,,,,,
Verschiedene andere bei keinem Collegio angewiesene Räthe und Bediente,Q506781,,,Franz Friedrich Carl von König,Franz Friedrich Carl von Könitz,anderer FN,Landcammerrath,,,,,,,,,,,,,,,,,
