unmittelbare Anstellung,Q506999,,Q-1770 Person,1771,1772,neu / weg / unverändert / andere Quali,Qualifikation 1,Qualifikation 2,Qualifikation 3,Qualifikation 4,,Ort,Titel,Adlesrang,Vorname1,Vorname2,Vorname3,Vorname4,Vorname5,Nachname
Extraordinarit,Q510693,,Q22952,Wilhelm Heinrich Jacobs,Wilhelm Heinrich Jacobs,unverändert,,,,,,,,,,,,,,
Extraordinarit,Q510693,,Q157391,Johann Heinrich Reinhardt,Johann Heinrich Reinhardt,unverändert,,,,,,,,,,,,,,
Extraordinarit,Q510693,,Q192895,Johann Andreas Gerlach,Johann Andreas Gerlach,unverändert,Vice-Proconsul,,,,,,,,,,,,,
Extraordinarit,Q510693,,Q507046,Georg Christian Eisentraut,Georg Christian Eisentraut,unverändert,,,,,,,,,,,,,,
Extraordinarit,Q510693,,,Carl August Geutebrück,Carl August Geutebrück,unverändert,,,,,,,,,,,,,,
Extraordinarit,Q510693,,,Jacob Friedrich Wilhelm Sorge,Jacob Friedrich Wilhelm Sorge,unverändert,,,,,,,,,,,,,,
Extraordinarit,Q510693,,,Johann Carl Mendinus,Johann Carl Mendinus,unverändert,,,,,,,,,,,,,,
Extraordinarit,Q510693,,,Christian Wilhelm Ludwig Gundermann,Christian Wilhelm Ludwig Gundermann,unverändert,,,,,,,,,,,,,,
Extraordinarit,Q510693,,,Johann Christian Bertuch,Johann Christian Bertuch,unverändert,,,,,,,,,,,,,,
Regierungs-Canzley,Q506827,,Q513398,Johann David Hauff,Johann David Hauff,unverändert,,,,,,,,,,,,,,
Regierungs-Canzley,Q506827,,Q513394,Carl Berninger,Carl Berninger,unverändert,,,,,,,,,,,,,,
Regierungs-Canzley,Q506827,,Q507049,Andreas Melchior Hirt,Andreas Melchior Hirt,unverändert,,,,,,,,,,,,,,
Regierungs-Canzley,Q506827,,Q507050,Johann August Siegfried,Johann August Siegfried,unverändert,Beybothen,,,,,,,,,,,,,
Regierungs-Canzley,Q506764,,Q507052,Heinrich Jacob Hirt,Heinrich Jacob Hirt,unverändert,Beybothen,,,,,,,,,,,,,
Regierungs-Canzley,Q506764,,Q507054,Johann George Brückner,,weg,Consistorial-Rath,Hofprediger,,,,,,,,,,,,
Regierungs-Canzley,Q506764,,Q42093,Johann Adam Löw,Johann Adam Löw,andere Quali,Consistorial-Rath,General-Superintendendens,Pastor primarius,,,,,,,,,,,
Regierungs-Canzley,Q506764,,Q162558,Emanuel Christoph Klüpfel,Emanuel Christoph Klüpfel,unverändert,Consistorial-Rath,,,,,,,,,,,,,
